features_all,weights_all
non,142.83658805467056
smoking,104.60348408095955
doc,9.333646543529813
castle,5.182966643181703
memphis,5.028623395528244
brushing,4.816897443143017
ashtrays,3.3904291306665777
migraine,3.296989469387749
warranties,2.9998793545877382
ash,2.94732132294466
ashes,2.6500897578080003
separation,2.562085898704862
peeled,20.84562272201203
shall,13.432961463911175
curds,12.750117909851683
jalapeño,11.205020427253338
chaat,11.071536457008504
cucumbers,9.89758439963375
curd,9.206849396658907
dosa,9.070104039788557
cravings,8.76518654819761
64,8.675367091141426
loaf,8.384711651187514
thinly,7.916398897264927
battery,21.019736847259825
heaven,14.99084874408326
shelves,14.68460275197449
panda,12.15611796752554
planet,11.59662916981357
organic,11.121679982704238
reduced,10.873603763818247
towed,10.863703593610406
careless,10.338173208112996
props,9.548498479544026
atleast,8.991368220076984
safelite,8.65921645026643
dress,59.98493759552648
flight,49.131896791725836
computer,42.91167454463784
bowls,40.607858893699635
bully,33.48119981900452
naked,31.40915763196621
grey,30.027023939166984
fedex,27.42132185354081
senior,21.365047402490312
race,21.02516062360988
coupon,21.01042831667161
49,20.42676219801718
eggs,69.91859246066865
benedict,46.71382630733721
english,40.316034331796224
muffin,27.80647716556044
cheap,23.495597445355905
packet,19.68463864857519
hollandaise,19.444570076058323
concert,19.300487634477175
mi,18.723270738806235
film,16.83348733693229
mofongo,16.29582396810226
soooo,15.966493803058794
doctor,79.03886511977983
dr,52.06865912318824
hospital,29.396372589256345
nurse,28.481212665513844
vet,24.860368108754553
clinic,23.817237494391723
enter,20.90390596363229
bummed,20.4441095983011
infection,19.82961558345236
incompetence,17.72072938846751
prescription,17.602764896334875
monaco,17.296931868892848
the,0.050798561741088696
to,0.05050963199861086
and,0.05046859965535864
is,0.05032964345292661
who,0.05030093020609174
you,0.05029527547704364
that,0.05028332947649087
as,0.0502819079197208
in,0.05025049419404114
one,0.0502124805374547
this,0.05019654760055163
be,0.050181021596034873
manayunk,0.050055754496030676
slide,0.05005495227996987
place,0.05005409076406434
rudeness,0.05005404415566343
nhl,0.05005395632835864
residential,0.05005376545890932
insufficient,0.05005363703429349
martin,0.050053116663555684
hamilton,0.05005286627526161
choices,0.050052788887866115
nope,0.05005267110082281
direction,0.050052570023542076
the,31135.883994212243
to,23830.36333039898
and,20167.461439684568
was,9548.627578619198
in,8805.915441129699
of,8340.582909529701
it,8283.635212555893
that,8278.269972543696
they,8088.660488033662
my,8075.536711583295
for,8023.984169119727
this,6236.071428449442
the,32212.00210157488
and,19128.48605758343
was,16246.010911796871
to,11027.71686668291
it,10691.076479273903
of,8892.101695878584
we,8247.392215444983
for,7019.016954746956
food,6450.642066157287
but,6129.659572187379
not,5860.682150393892
were,5593.3707078515
jeep,14.576045417482284
rotors,7.688242306210534
hydrogenated,6.981334669127805
chevy,4.851496677555949
oils,4.832113857736903
struts,4.820658717262707
polishing,4.778615652267978
headlight,4.011082122392208
2015,3.579545198226464
wrangler,3.134079492072885
entryway,2.9351917271387764
loaner,2.6138269034864967
hair,126.39964694136975
tour,101.30458085115
cut,81.60327912571849
haircut,68.59567461213763
club,57.01630499627802
stylist,41.04525644760092
creepy,30.1066040111262
boat,30.003935621908667
guide,29.423926152029523
looks,27.986523280571475
animals,26.435370551356602
vw,25.2941895998972
